"Recipient","From Lobbyists","From Lobbyists + Family"
"Charles E Schumer (D-NY)","$757850","$824750"
"Kevin McCarthy (R-Calif)","$603793","$607793"
"Raphael Warnock (D-Ga)","$530428","$560377"
"Maggie Hassan (D-NH)","$512115","$530765"
"Patty Murray (D-Wash)","$500239","$520639"
"Tim Ryan (D-Ohio)","$485528","$518513"
"Catherine Cortez Masto (D-Nev)","$454972","$477560"
"John Thune (R-SD)","$368228","$372728"
"Ron Wyden (D-Ore)","$343953","$358553"
"Tim Scott (R-SC)","$341704","$364354"
"Katie Britt (R-Ala)","$327843","$343183"
"Cathy McMorris Rodgers (R-Wash)","$316271","$321766"
"Robert Menendez (D-NJ)","$308710","$318410"
"Mark Kelly (D-Ariz)","$299578","$316539"
"Liz Cheney (R-Wyo)","$298290","$314190"
"Todd Young (R-Ind)","$278660","$283560"
"Chris Van Hollen (D-Md)","$271581","$276331"
"Alex Padilla (D-Calif)","$262420","$280520"
"Richard Blumenthal (D-Conn)","$256908","$263408"
"Hakeem Jeffries (D-NY)","$247805","$254905"
"Ted Budd (R-NC)","$246670","$253160"
"Marco Rubio (R-Fla)","$241540","$244940"
"Markwayne Mullin (R-Okla)","$233250","$246900"
"Mark Warner (D-Va)","$230969","$236779"
"Lisa Murkowski (R-Alaska)","$230410","$238360"
"John Boozman (R-Ark)","$229215","$239015"
"Richard E Neal (D-Mass)","$228157","$229157"
"Mike Crapo (R-Idaho)","$225608","$227608"
"Darin LaHood (R-Ill)","$224799","$229299"
"Ken Calvert (R-Calif)","$224763","$236763"
"Mike Lee (R-Utah)","$220226","$226126"
"Herschel Walker (R-Ga)","$219162","$231212"
"Chuck Grassley (R-Iowa)","$213991","$223291"
"Frank Pallone Jr. (D-NJ)","$208800","$209300"
"Vernon Buchanan (R-Fla)","$208600","$218800"
"Kyrsten Sinema (D-Ariz)","$206050","$220850"
"J D Vance (R-Ohio)","$198909","$206709"
"Steve Scalise (R-La)","$196015","$196015"
"Adam Laxalt (R-Nev)","$192450","$217100"
"Jerry Moran (R-Kan)","$185699","$186699"
"Cheri Beasley (D-NC)","$174075","$186225"
"Gary Peters (D-Mich)","$172410","$174610"
"Peter Welch (D-Vt)","$169850","$173750"
"Drew Ferguson (R-Ga)","$167490","$167710"
"Patrick McHenry (R-NC)","$162350","$162350"
"Nancy Pelosi (D-Calif)","$155627","$167789"
"Dave McCormick (R)","$155550","$179750"
"Joe Manchin (D-WVa)","$155527","$164227"
"Lori Trahan (D-Mass)","$152394","$153394"
"Jon Tester (D-Mont)","$151629","$151629"
"Blaine Luetkemeyer (R-Mo)","$150442","$160142"
"Val Demings (D-Fla)","$145785","$161762"
"James Lankford (R-Okla)","$142956","$150006"
"Henry Cuellar (D-Texas)","$142729","$160529"
"Bob Casey (D-Pa)","$142077","$144977"
"Martin Heinrich (D-NM)","$139500","$139500"
"Mandela Barnes (D-Wis)","$138463","$150463"
"Steven Horsford (D-Nev)","$138156","$141056"
"Ben Ray Lujan (D-NM)","$137300","$137300"
"Brett Guthrie (R-Ky)","$133700","$134200"
"Abigail Spanberger (D-Va)","$131084","$137796"
"Tammy Duckworth (D-Ill)","$128635","$133635"
"Chris Stewart (R-Utah)","$127950","$128950"
"Jason Smith (R-Mo)","$125460","$129860"
"Luke Holland (R)","$123950","$128075"
"Rob Menendez (D-NJ)","$122656","$123906"
"Pete Aguilar (D-Calif)","$122550","$128350"
"Tim Kaine (D-Va)","$119478","$123378"
"Steny H Hoyer (D-Md)","$118420","$134420"
"Katherine Clark (D-Mass)","$118185","$118685"
"French Hill (R-Ark)","$118020","$118020"
"Mikie Sherrill (D-NJ)","$117887","$119387"
"Richard Hudson (R-NC)","$117570","$121570"
"John Curtis (R-Utah)","$115450","$115700"
"Dan Kildee (D-Mich)","$114720","$119720"
"James E Clyburn (D-SC)","$114600","$114600"
"Dan Newhouse (R-Wash)","$113650","$113900"
"Rodney Davis (R)","$112545","$114545"
"Patrick Leahy (D-Vt)","$112248","$114748"
"Ashley Hinson (R-Iowa)","$111800","$119450"
"Elaine Luria (D-Va)","$111390","$115640"
"Bill Hagerty (R-Tenn)","$111250","$120100"
"John Kennedy (R-La)","$109200","$117500"
"Haley Stevens (D-Mich)","$108612","$112012"
"Ann Kuster (D-NH)","$108500","$108500"
"Adam Kinzinger (R-Ill)","$108300","$111200"
"Mike Simpson (R-Idaho)","$107669","$109169"
"Rosa DeLauro (D-Conn)","$105762","$106262"
"Lucy McBath (D-Ga)","$105701","$107201"
"John Fetterman (D-Pa)","$105593","$125934"
"Joyce Beatty (D-Ohio)","$104950","$104950"
"Brian Schatz (D-Hawaii)","$102290","$108340"
"Tom Cole (R-Okla)","$102100","$105100"
"Angie Craig (D-Minn)","$101128","$101128"
"Scott Peters (D-Calif)","$100000","$100500"
"Sam Graves (R-Mo)","$99100","$100600"
"Josh Gottheimer (D-NJ)","$97958","$104008"
"Heather Mizeur (D-Md)","$97575","$101700"
"Troy Carter (D-La)","$97000","$97000"
"Chrissy Houlahan (D-Pa)","$95394","$97394"
