pacid,affiliateid,orgid,firstlastp,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid,maxyear
"","",D000037238,Bob Casey (D),Ross Feller Casey LLP,118450,0,118450,2024-03-06 00:00:00 +0000,1,"","",0,"",""
"","",D000022295,Bob Casey (D),University Of Pennsylvania,92352,0,92352,2024-03-06 00:00:00 +0000,2,x,"",6,D000022295,2023
C00127258,"",D000021809,Bob Casey (D),Air Products & Chemicals Inc,81525,0,81525,2024-03-06 00:00:00 +0000,3,x,"",5,D000021809,2023
"","","",Bob Casey (D),Capital Group,71949,0,71949,2024-03-06 00:00:00 +0000,4,"","",0,"",""
C00843599,"",D000022240,Bob Casey (D),"Kessler, Topaz et al                    ",59400,0,59400,2024-03-06 00:00:00 +0000,5,"","",0,"",""
"","",D000021873,Bob Casey (D),Blackstone Group,57200,0,57200,2024-03-06 00:00:00 +0000,6,x,"",9,D000021873,2023
C00248716,"",D000000461,Bob Casey (D),Comcast Corp,56022,5000,51022,2024-03-06 00:00:00 +0000,7,x,"",24,D000000461,2023
"","",D000000771,Bob Casey (D),Berger & Montague,52150,0,52150,2024-03-06 00:00:00 +0000,8,"","",0,"",""
"","",D000021845,Bob Casey (D),Apollo Global Management,49400,0,49400,2024-03-06 00:00:00 +0000,9,x,"",15,D000021845,2023
"","","",Bob Casey (D),Lindy Paving,45200,0,45200,2024-03-06 00:00:00 +0000,10,"","",0,"",""
"","",D000022322,Bob Casey (D),Wilmerhale Llp,43762,0,43762,2024-03-06 00:00:00 +0000,11,"",x,1,D000022322,2023
C00312777,"",D000025169,Bob Casey (D),Cozen O'Connor,41398,500,40898,2024-03-06 00:00:00 +0000,12,x,x,0,D000025169,2023
"","",D000030685,Bob Casey (D),University of Pittsburgh,41000,0,41000,2024-03-06 00:00:00 +0000,13,x,"",3,D000030685,2023
C00195388,"",D000021746,Bob Casey (D),"Buchanan, Ingersoll & Rooney",36321,0,36321,2024-03-06 00:00:00 +0000,14,"",x,0,D000021746,2023
"","",D000022120,Bob Casey (D),Morgan Lewis Llp,34166,0,34166,2024-03-06 00:00:00 +0000,15,"",x,0,D000022120,2023
"","",D000032727,Bob Casey (D),"Cohen, Placitella & Roth",32200,0,32200,2024-03-06 00:00:00 +0000,16,"","",0,"",""
"","",D000056199,Bob Casey (D),Robindale Energy Services,32000,0,32000,2024-03-06 00:00:00 +0000,17,"","",0,"",""
"","",D000056596,Bob Casey (D),Sellers Dorsey,31650,0,31650,2024-03-06 00:00:00 +0000,18,x,"",5,D000056596,2023
C00104901,"",D000000162,Bob Casey (D),"Akin, Gump et al",31313,2500,28813,2024-03-06 00:00:00 +0000,19,x,x,7,D000000162,2023
"","",D000022219,Bob Casey (D),Renaissance Technologies,29700,0,29700,2024-03-06 00:00:00 +0000,20,"","",0,"",""
