pacid,affiliateid,orgid,firstlastp,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid,maxyear
C00797670,"",D000046963,Jon Tester (D),American Israel Public Affairs Cmte,150750,5000,145750,2024-03-06 00:00:00 +0000,1,x,"",0,D000046963,2023
C00350744,"",D000000085,Jon Tester (D),Goldman Sachs,97250,9000,88250,2024-03-06 00:00:00 +0000,2,x,"",6,D000000085,2023
"","","",Jon Tester (D),Capital Group,78830,0,78830,2024-03-06 00:00:00 +0000,3,"","",0,"",""
C00227546,"",D000000115,Jon Tester (D),Microsoft Corp,71811,9000,62811,2024-03-06 00:00:00 +0000,4,x,"",13,D000000115,2023
C00303024,"",D000000104,Jon Tester (D),Lockheed Martin,61792,1500,60292,2024-03-06 00:00:00 +0000,5,x,"",15,D000000104,2023
"","",D000031082,Jon Tester (D),"Williams, Hart & Boundas",58600,0,58600,2024-03-06 00:00:00 +0000,6,"","",0,"",""
"","",D000021845,Jon Tester (D),Apollo Global Management,58200,0,58200,2024-03-06 00:00:00 +0000,7,x,"",25,D000021845,2023
C00365122,"",D000029689,Jon Tester (D),Visa Inc,57528,10000,47528,2024-03-06 00:00:00 +0000,8,x,"",10,D000029689,2023
C00142711,"",D000000100,Jon Tester (D),Boeing Co,43933,10000,33933,2024-03-06 00:00:00 +0000,9,x,"",34,D000000100,2023
"","",D000022322,Jon Tester (D),Wilmerhale Llp,43560,0,43560,2024-03-06 00:00:00 +0000,10,"",x,1,D000022322,2023
C00494534,"",D000021765,Jon Tester (D),Bank of New York Mellon,41146,5000,36146,2024-03-06 00:00:00 +0000,11,x,"",2,D000021765,2023
"","",D000043824,Jon Tester (D),Montana State University,39649,0,39649,2024-03-06 00:00:00 +0000,12,x,"",2,D000043824,2023
"","",D000043963,Jon Tester (D),State of Montana,37342,0,37342,2024-03-06 00:00:00 +0000,13,"","",0,"",""
"","",D000031921,Jon Tester (D),"Bergman, Draper et al",37200,0,37200,2024-03-06 00:00:00 +0000,14,"","",0,"",""
"","",D000022082,Jon Tester (D),"Lieff, Cabraser et al",33275,0,33275,2024-03-06 00:00:00 +0000,15,"","",0,"",""
C00235739,"","",Jon Tester (D),BNSF Railway,31227,2500,28727,2024-03-06 00:00:00 +0000,16,"","",0,"",""
"","",D000066687,Jon Tester (D),Forbes Tate Partners,30740,0,30740,2024-03-06 00:00:00 +0000,17,"",x,6,D000066687,2023
C00546234,"",D000000369,Jon Tester (D),Leidos Inc                                        ,29724,6000,23724,2024-03-06 00:00:00 +0000,18,x,"",8,D000000369,2023
"","",D000022300,Jon Tester (D),US Government,29658,0,29658,2024-03-06 00:00:00 +0000,19,"","",0,"",""
C00128512,"",D000000103,Jon Tester (D),JPMorgan Chase & Co,29426,5000,24426,2024-03-06 00:00:00 +0000,20,x,"",7,D000000103,2023
