pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00496752,"",D000033463,Enterprise Products Partners,116600,0,116600,2023-03-20 00:00:00 +0000,1,x, ,0,D000033463
C00797670,"",D000046963,American Israel Public Affairs Cmte,108350,7900,100450,2023-03-20 00:00:00 +0000,2,x, ,0,D000046963
C00388827,"",D000066716,Rock Holdings,63200,20000,43200,2023-03-20 00:00:00 +0000,3,x, ,2,D000066716
C00089136,"",D000000067,Altria Group,61600,20000,41600,2023-03-20 00:00:00 +0000,4,x, ,11,D000000067
         ,"",D000036976,Rdv Corp,54000,0,54000,2023-03-20 00:00:00 +0000,5, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,53400,0,53400,2023-03-20 00:00:00 +0000,6, , ,0,          
C00248716,"",D000000461,Comcast Corp,52185,20000,32185,2023-03-20 00:00:00 +0000,7,x, ,20,D000000461
         ,"",D000073422,Miller Strategies,50943,0,50943,2023-03-20 00:00:00 +0000,8, ,x,5,D000073422
C00162735,"",D000000452,Federated Hermes,49200,0,49200,2023-03-20 00:00:00 +0000,9,x, ,0,D000000452
         ,"",D000000811,Kirkland & Ellis,48100,0,48100,2023-03-20 00:00:00 +0000,10, , ,0,          
         ,"",D000000772,Station Casinos,47600,5000,42600,2023-03-20 00:00:00 +0000,11,x, ,0,D000000772
         ,"",D000000121,American Financial Group,47400,0,47400,2023-03-20 00:00:00 +0000,12,x, ,0,D000000121
C00330647,"",D000000535,DISH Network,46700,8000,38700,2023-03-20 00:00:00 +0000,13,x, ,2,D000000535
C00112896,"",D000000303,ConocoPhillips,46600,10000,36600,2023-03-20 00:00:00 +0000,14,x, ,0,D000000303
C00300178,"",D000019743,Wells Fargo,44353,20000,24353,2023-03-20 00:00:00 +0000,15,x, ,5,D000019743
C00350744,"",D000000085,Goldman Sachs,42400,0,42400,2023-03-20 00:00:00 +0000,16,x, ,4,D000000085
C00236083,"",D000028850,S&B Engineers & Constructors,42400,0,42400,2023-03-20 00:00:00 +0000,16,x, ,2,D000028850
         ,"",D000021873,Blackstone Group                        ,40700,0,40700,2023-03-20 00:00:00 +0000,18,x, ,12,D000021873
         ,"",D000070479,Harbinger Strategies,40400,0,40400,2023-03-20 00:00:00 +0000,19, ,x,4,D000070479
C00121368,"",D000000129,Exxon Mobil,40249,20000,20249,2023-03-20 00:00:00 +0000,20,x, ,7,D000000129
