pacid,affiliateid,orgid,firstlastp,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid,maxyear
C00797670,"",D000046963,Maria Cantwell (D),American Israel Public Affairs Cmte,134300,0,134300,2024-03-06 00:00:00 +0000,1,x,"",0,D000046963,2023
C00361758,"","",Maria Cantwell (D),T-Mobile USA,114550,0,114550,2024-03-06 00:00:00 +0000,2,"","",0,"",""
C00227546,"",D000000115,Maria Cantwell (D),Microsoft Corp,101533,0,101533,2024-03-06 00:00:00 +0000,3,x,"",27,D000000115,2023
"","",D000022297,Maria Cantwell (D),University of Washington,64263,0,64263,2024-03-06 00:00:00 +0000,4,x,"",2,D000022297,2023
C00360354,"",D000023883,Maria Cantwell (D),Amazon.com,60750,0,60750,2024-03-06 00:00:00 +0000,5,x,"",25,D000023883,2023
"","",D000031082,Maria Cantwell (D),"Williams, Hart & Boundas",46200,0,46200,2024-03-06 00:00:00 +0000,6,"","",0,"",""
C00109017,"",D000000076,Maria Cantwell (D),AT&T Inc,45826,0,45826,2024-03-06 00:00:00 +0000,7,x,"",19,D000000076,2023
C00009985,"",D000000202,Maria Cantwell (D),National Assn of Broadcasters,45350,0,45350,2024-03-06 00:00:00 +0000,8,x,"",12,D000000202,2023
C00101766,"","",Maria Cantwell (D),United Airlines,44791,0,44791,2024-03-06 00:00:00 +0000,9,"","",0,"",""
C00104802,"",D000000350,Maria Cantwell (D),Delta Air Lines,37220,0,37220,2024-03-06 00:00:00 +0000,10,x,"",9,D000000350,2023
C00502906,"",D000033563,Maria Cantwell (D),Meta,32695,0,32695,2024-03-06 00:00:00 +0000,11,x,"",11,D000033563,2023
C00213173,"",D000000766,Maria Cantwell (D),K&L Gates,31050,0,31050,2024-03-06 00:00:00 +0000,12,x,x,12,D000000766,2023
C00107300,"","",Maria Cantwell (D),American Airlines,30250,0,30250,2024-03-06 00:00:00 +0000,13,"","",0,"",""
C00068692,"",D000000089,Maria Cantwell (D),FedEx Corp,29996,0,29996,2024-03-06 00:00:00 +0000,14,x,"",23,D000000089,2023
C00699439,"",D000031213,Maria Cantwell (D),Zillow Group,28457,0,28457,2024-03-06 00:00:00 +0000,15,x,"",5,D000031213,2023
C00411116,"",D000029147,Maria Cantwell (D),SpaceX,28413,0,28413,2024-03-06 00:00:00 +0000,16,x,"",7,D000029147,2023
"","",D000067802,Maria Cantwell (D),Team Subject Matter,27500,0,27500,2024-03-06 00:00:00 +0000,17,"",x,5,D000067802,2023
"","",D000031921,Maria Cantwell (D),"Bergman, Draper et al",25200,0,25200,2024-03-06 00:00:00 +0000,18,"","",0,"",""
"","",D000066687,Maria Cantwell (D),Forbes Tate Partners,24900,0,24900,2024-03-06 00:00:00 +0000,19,"",x,5,D000066687,2023
"","",D000032451,Maria Cantwell (D),Centerview Partners,24100,0,24100,2024-03-06 00:00:00 +0000,20,"","",0,"",""
