pacid,affiliateid,orgid,firstlastp,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid,maxyear
C00350744,"",D000000085,Tim Scott (R),Goldman Sachs,176175,0,176175,2024-03-06 00:00:00 +0000,1,x,"",10,D000000085,2023
"","","",Tim Scott (R),Capital Group,98075,0,98075,2024-03-06 00:00:00 +0000,2,"","",0,"",""
"","",D000021873,Tim Scott (R),Blackstone Group,84100,0,84100,2024-03-06 00:00:00 +0000,3,x,"",18,D000021873,2023
"","",D000071820,Tim Scott (R),Johnson Development Assoc,81581,0,81581,2024-03-06 00:00:00 +0000,4,"","",0,"",""
C00142372,"",D000028280,Tim Scott (R),Penn Mutual Life Insurance,73300,0,73300,2024-03-06 00:00:00 +0000,5,"","",0,"",""
"","",D000109293,Tim Scott (R),Toyota of Greer,69200,0,69200,2024-03-06 00:00:00 +0000,6,"","",0,"",""
"","",D000021845,Tim Scott (R),Apollo Global Management,60700,0,60700,2024-03-06 00:00:00 +0000,7,x,"",35,D000021845,2023
"","",D000076957,Tim Scott (R),Charles Ingram Lumber,56200,0,56200,2024-03-06 00:00:00 +0000,8,"","",0,"",""
C00390583,"",D000000724,Tim Scott (R),"Brownstein, Hyatt et al",51208,0,51208,2024-03-06 00:00:00 +0000,9,"",x,19,D000000724,2023
C00365122,"",D000029689,Tim Scott (R),Visa Inc,50155,0,50155,2024-03-06 00:00:00 +0000,10,x,"",9,D000029689,2023
C00804179,"",D000072255,Tim Scott (R),Coinbase,49300,0,49300,2024-03-06 00:00:00 +0000,11,x,"",6,D000072255,2023
"","",D000050845,Tim Scott (R),Fennell Holdings,47320,0,47320,2024-03-06 00:00:00 +0000,12,"","",0,"",""
"","",D000037531,Tim Scott (R),Sherman Financial Group,42100,0,42100,2024-03-06 00:00:00 +0000,13,"","",0,"",""
"","",D000076758,Tim Scott (R),Titan Farms,40825,0,40825,2024-03-06 00:00:00 +0000,14,"","",0,"",""
C00493551,"",D000000172,Tim Scott (R),MetLife Inc,38820,0,38820,2024-03-06 00:00:00 +0000,15,x,"",13,D000000172,2023
C00104901,"",D000000162,Tim Scott (R),"Akin, Gump et al",38725,0,38725,2024-03-06 00:00:00 +0000,16,x,x,10,D000000162,2023
"","",D000022055,Tim Scott (R),Kasowitz Benson Torres Llp,38600,0,38600,2024-03-06 00:00:00 +0000,17,"",x,1,D000022055,2023
"","","",Tim Scott (R),South Carolina Federal Credit Union,38150,0,38150,2024-03-06 00:00:00 +0000,18,"","",0,"",""
"","","",Tim Scott (R),Rocket Mortgage,37900,0,37900,2024-03-06 00:00:00 +0000,19,"","",0,"",""
"","",D000000402,Tim Scott (R),"Welsh, Carson et al                     ",36950,0,36950,2024-03-06 00:00:00 +0000,20,x,"",0,D000000402,2023
